temporada,division,fecha,hora,local,visitante,goles_local,goles_visitante,resultado,quiniela
2024-2025,Primera,2024-08-15,18:00,Ath Bilbao,Getafe,1,1,Empate,X
2024-2025,Primera,2024-08-15,20:30,Betis,Girona,1,1,Empate,X
2024-2025,Primera,2024-08-16,18:00,Celta,Alaves,2,1,Local,1
2024-2025,Primera,2024-08-16,20:30,Las Palmas,Sevilla,2,2,Empate,X
2024-2025,Primera,2024-08-17,18:00,Osasuna,Leganes,1,1,Empate,X
2024-2025,Primera,2024-08-17,20:30,Valencia,Barcelona,1,2,Visitante,2
2024-2025,Primera,2024-08-18,18:00,Sociedad,Vallecano,1,2,Visitante,2
2024-2025,Primera,2024-08-18,20:30,Mallorca,Real Madrid,1,1,Empate,X
2024-2025,Primera,2024-08-19,18:00,Valladolid,Espanol,1,0,Local,1
2024-2025,Primera,2024-08-19,20:30,Villarreal,Ath Madrid,2,2,Empate,X
2024-2025,Primera,2024-08-23,18:00,Celta,Valencia,3,1,Local,1
2024-2025,Primera,2024-08-23,20:30,Sevilla,Villarreal,1,2,Visitante,2
2024-2025,Primera,2024-08-24,16:00,Osasuna,Mallorca,1,0,Local,1
2024-2025,Primera,2024-08-24,18:00,Barcelona,Ath Bilbao,2,1,Local,1
2024-2025,Primera,2024-08-24,20:30,Espanol,Sociedad,0,1,Visitante,2
2024-2025,Primera,2024-08-24,20:30,Getafe,Vallecano,0,0,Empate,X
2024-2025,Primera,2024-08-25,16:00,Real Madrid,Valladolid,3,0,Local,1
2024-2025,Primera,2024-08-25,18:00,Leganes,Las Palmas,2,1,Local,1
2024-2025,Primera,2024-08-25,18:15,Alaves,Betis,0,0,Empate,X
2024-2025,Primera,2024-08-25,20:30,Ath Madrid,Girona,3,0,Local,1
2024-2025,Primera,2024-08-26,20:30,Villarreal,Celta,4,3,Local,1
2024-2025,Primera,2024-08-27,18:00,Mallorca,Sevilla,0,0,Empate,X
